Title,genres,director,actors
insidious: the last key,"['Horror', 'Thriller']",['Adam Robitel '],"['Lin Shaye', 'Angus Sampson', 'Leigh Whannell']"
the strange ones,"['Drama', 'Mystery']","['Christopher Radcliff ', ' Lauren Wolkstein ']","['Alex Pettyfer', 'James Freedson-Jackson', 'Emily Althaus']"
the commuter,"['Action', 'Thriller', 'Mystery']",['Jaume Collet-Serra '],"['Liam Neeson', 'Vera Farmiga', 'Patrick Wilson']"
proud mary,"['Thriller', 'Action', 'Crime']",['Babak Najafi '],"['Taraji P. Henson', ""Jahi Di'Allo Winston"", 'Billy Brown']"
acts of violence,"['Action', 'Crime', 'Thriller']",['Brett Donowho '],"['Bruce Willis', 'Cole Hauser', 'Shawn Ashmore']"
freak show,"['Comedy', 'Drama']",['Trudie Styler '],"['Alex Lawther', 'Abigail Breslin', 'AnnaSophia Robb']"
humor me,['Comedy'],['Sam Hoffman '],"['Jemaine Clement', 'Elliott Gould', 'Ingrid Michaelson']"
12 strong,"['War', 'Drama', 'Action', 'History']",['Nicolai Fuglsig '],"['Chris Hemsworth', 'Michael Shannon', 'Michael Peña']"
den of thieves,"['Action', 'Crime', 'Thriller']",['Christian Gudegast '],"['Gerard Butler', 'Pablo Schreiber', ""O'Shea Jackson Jr.""]"
forever my girl,"['Romance', 'Drama', 'Music']",['Bethany Ashton Wolf '],"['Alex Roe', 'Jessica Rothe', 'John Benjamin Hickey']"
thane of east county,"['Drama', 'Thriller']",['Jesse Keller '],"['Carr Cavender', 'Molly Beucher', 'Connor Sullivan']"
maze runner: the death cure,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",['Wes Ball '],"[""Dylan O'Brien"", 'Kaya Scodelario', 'Thomas Brodie-Sangster']"
please stand by,"['Comedy', 'Drama']",['Ben Lewin '],"['Dakota Fanning', 'Toni Collette', 'Alice Eve']"
winchester,"['Horror', 'Thriller']",['The Spierig Brothers '],"['Helen Mirren', 'Jason Clarke', 'Sarah Snook']"
a fantastic woman,['Drama'],['n Lelio '],"['Daniela Vega', 'Francisco Reyes Morandé']"
armed,"['Action', 'Thriller']",['Mario Van Peebles '],"['Mario Van Peebles', 'Ryan Guzman', 'Columbus Short']"
the cloverfield paradox,"['Horror', 'Science Fiction', 'Thriller']",['Julius Onah '],"['Gugu Mbatha-Raw', 'Elizabeth Debicki', 'Aksel Hennie']"
bad apples,['Comedy'],['Bryan Coyne '],"['Brea Grant', 'Graham Skipper', 'Aly Fitzgerald']"
peter rabbit,"['Animation', 'Adventure', 'Family']",['Will Gluck '],"['Rose Byrne', 'Domhnall Gleeson', 'Sam Neill']"
pad man,"['Comedy', 'Drama']",[' Balki '],"['Akshay Kumar', 'Radhika Apte']"
fifty shades freed,"['Drama', 'Romance']",['James Foley '],"['Dakota Johnson', 'Jamie Dornan', 'Eric Johnson']"
the 15:17 to paris,"['Drama', 'Thriller']",['Clint Eastwood '],"['Anthony Sadler', 'Alek Skarlatos', 'Spencer Stone']"
permission,"['Comedy', 'Romance', 'Drama']",['Brian Crano '],"['Rebecca Hall', 'Dan Stevens', 'Gina Gershon']"
golden exits,['Drama'],['Alex Ross Perry '],"['Emily Browning', 'Adam Horowitz', 'Mary-Louise Parker']"
black panther,"['Action', 'Adventure', 'Science Fiction']",['Ryan Coogler '],"['Chadwick Boseman', 'Michael B. Jordan', ""Lupita Nyong'o""]"
nostalgia,['Drama'],['Mark Pellington '],"['Jon Hamm', 'Catherine Keener', 'John Ortiz']"
samson,"['Action', 'Drama', 'Adventure']",['Bruce Macdonald '],"['Taylor James', 'Jackson Rathbone', 'Billy Zane']"
game night,"['Mystery', 'Comedy', 'Crime']",[' Jonathan Goldstein '],"['Jason Bateman', 'Rachel McAdams', 'Billy Magnussen']"
annihilation,"['Science Fiction', 'Horror']",['Alex Garland '],"['Natalie Portman', 'Jennifer Jason Leigh', 'Gina Rodriguez']"
every day,"['Romance', 'Fantasy']",['Michael Sucsy '],"['Angourie Rice', 'Justice Smith', 'Debby Ryan']"
the cured,"['Horror', 'Drama', 'Science Fiction']",['David Freyne '],"['Ellen Page', 'Sam Keeley', 'Tom Vaughan-Lawlor']"
red sparrow,"['Thriller', 'Mystery']",['Francis Lawrence '],"['Jennifer Lawrence', 'Joel Edgerton', 'Matthias Schoenaerts']"
death wish,"['Action', 'Crime', 'Thriller']",['Eli Roth '],"['Bruce Willis', ""Vincent D'Onofrio"", 'Elisabeth Shue']"
the vanishing of sidney hall,"['Drama', 'Mystery', 'Romance']",['Shawn Christensen '],"['Logan Lerman', 'Elle Fanning', 'Michelle Monaghan']"
pickings,"['Thriller', 'Action', 'Crime', 'Drama', 'Mystery']",['Usher Morgan '],"['Elyse Price', 'Katie Vincent', 'Joel Bernard']"
a wrinkle in time,"['Adventure', 'Science Fiction', 'Family', 'Fantasy']",['Ava DuVernay '],"['Storm Reid', 'Oprah Winfrey', 'Reese Witherspoon']"
gringo,"['Comedy', 'Action', 'Crime']",['Nash Edgerton '],"['David Oyelowo', 'Charlize Theron', 'Joel Edgerton']"
thoroughbreds,"['Drama', 'Thriller']",['Cory Finley '],"['Olivia Cooke', 'Anya Taylor-Joy', 'Anton Yelchin']"
the strangers: prey at night,"['Horror', 'Thriller']",['Johannes Roberts '],"['Christina Hendricks', 'Martin Henderson', 'Bailee Madison']"
the hurricane heist,"['Action', 'Adventure', 'Crime', 'Thriller']",['Rob Cohen '],"['Toby Kebbell', 'Maggie Grace', 'Ryan Kwanten']"
tomb raider,"['Action', 'Adventure', 'Fantasy']",['Roar Uthaug '],"['Alicia Vikander', 'Dominic West', 'Walton Goggins']"
"love, simon","['Comedy', 'Drama', 'Romance']",['Greg Berlanti '],"['Nick Robinson', 'Josh Duhamel', 'Jennifer Garner']"
i can only imagine,"['Music', 'Drama']",['Erwin brothers '],"['J. Michael Finley', 'Madeline Carroll', 'Trace Adkins']"
entebbe,"['Thriller', 'Drama', 'Crime']",[' Padilha '],"['Rosamund Pike', 'Daniel Brühl', 'Eddie Marsan']"
furlough,['Comedy'],['Laurie Collyer '],"['Tessa Thompson', 'Melissa Leo', 'Whoopi Goldberg']"
josie,"['Thriller', 'Drama']",['Eric England '],"['Sophie Turner', 'Dylan McDermott', 'Jack Kilmer']"
flower,"['Comedy', 'Drama']",['Max Winkler '],"['Zoey Deutch', 'Kathryn Hahn', 'Tim Heidecker']"
pacific rim uprising,"['Action', 'Fantasy', 'Science Fiction', 'Adventure']",[' DeKnight '],"['John Boyega', 'Scott Eastwood', 'Jing Tian']"
isle of dogs,"['Adventure', 'Comedy', 'Animation']",['Wes Anderson '],"['Bryan Cranston', 'Koyu Rankin', 'Edward Norton']"
sherlock gnomes,"['Animation', 'Family', 'Fantasy', 'Comedy', 'Adventure', 'Mystery']",['John Stevenson '],"['James McAvoy', 'Emily Blunt', 'Chiwetel Ejiofor']"
unsane,"['Horror', 'Thriller']",['Steven Soderbergh '],"['Claire Foy', 'Joshua Leonard', 'Jay Pharoah']"
"paul, apostle of christ",['Drama'],['Andrew Hyatt '],"['Jim Caviezel', 'Olivier Martinez', 'James Faulkner']"
final portrait,"['History', 'Drama']",['Stanley Tucci '],"['Geoffrey Rush', 'Armie Hammer', 'Clémence Poésy']"
midnight sun,"['Romance', 'Drama']",['Scott Speer '],"['Bella Thorne', 'Patrick Schwarzenegger', 'Rob Riggle']"
ready player one,"['Adventure', 'Action', 'Science Fiction']",['Steven Spielberg '],"['Tye Sheridan', 'Olivia Cooke', 'Ben Mendelsohn']"
acrimony,"['Drama', 'Thriller']",['Tyler Perry '],"['Taraji P. Henson', 'Lyriq Bent', 'Crystle Stewart']"
god's not dead: a light in darkness,['Drama'],['Michael Mason '],"['David A. R. White', 'John Corbett', 'Shane Harper']"
gemini,"['Mystery', 'Crime', 'Drama', 'Thriller']",['Aaron Katz '],"['Lola Kirke', 'Zoë Kravitz', 'Greta Lee']"
the last movie star,['Drama'],['Adam Rifkin '],"['Burt Reynolds', 'Ariel Winter', 'Clark Duke']"
escape room,"['Horror', 'Thriller', 'Mystery']",['Adam Robitel '],"['Taylor Russell', 'Logan Miller', 'Deborah Ann Woll']"
rust creek,"['Thriller', 'Drama', 'Action', 'Crime']",['Jen McGowan '],"['Hermione Corfield', 'Jay Paulson', ""Sean O'Bryan""]"
american hangman,['Thriller'],['Wilson Coneybeare '],"['Donald Sutherland', 'Vincent Kartheiser', 'Oliver Dennis']"
a dog's way home,"['Drama', 'Adventure', 'Family']",['Charles Martin Smith '],"['Bryce Dallas Howard', 'Edward James Olmos', 'Alexandra Shipp']"
the upside,"['Comedy', 'Drama']",['Neil Burger '],"['Bryan Cranston', 'Kevin Hart', 'Nicole Kidman']"
replicas,"['Science Fiction', 'Thriller', 'Drama']",['Jeffrey Nachmanoff '],['Keanu Reeves']
after darkness,"['Drama', 'Family', 'Thriller', 'Science Fiction']",['n Silva '],"['Natalia Dyer', 'Kyra Sedgwick', 'Tim Daly']"
glass,"['Thriller', 'Drama', 'Science Fiction']",[' Night Shyamalan '],"['James McAvoy', 'Bruce Willis', 'Samuel L. Jackson']"
close,['Drama'],['Vicky Jewson '],"['Noomi Rapace', 'Sophie Nélisse', 'Indira Varma']"
the standoff at sparrow creek,"['Crime', 'Drama', 'Thriller']",['Henry Dunham '],"['James Badge Dale', 'Brian Geraghty']"
the final wish,['Horror'],[' '],"['Lin Shaye', 'Michael Welch', 'Melissa Bolona']"
the kid who would be king,"['Action', 'Adventure', 'Fantasy', 'Family']",['Joe Cornish '],"['Louis Ashbourne Serkis', 'Dean Chaumoo', 'Tom Taylor']"
serenity,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",['Steven Knight '],"['Matthew McConaughey', 'Anne Hathaway', 'Jason Clarke']"
i am mother,"['Science Fiction', 'Thriller']",['Grant Sputore '],"['Grant Sputore (director)', 'Michael Lloyd Green (screenplay/story)', 'Clara Rugaard']"
the vast of night,"['Drama', 'Mystery', 'Science Fiction', 'Thriller']",['Andrew Patterson '],"['Sierra McCormick', 'Jake Horowitz']"
miss bala,['Action'],['Catherine Hardwicke '],"['Gina Rodriguez', 'Ismael Cruz Córdova', 'Anthony Mackie']"
velvet buzzsaw,"['Thriller', 'Mystery', 'Horror']",['Dan Gilroy '],"['Jake Gyllenhaal', 'Rene Russo', 'Toni Collette']"
